Training for 1 epochs (250065 iterations).
Accuracy 0.19768934531450577
Epoch 1
Iteration:  100 	Average Loss:  2.1148027392812967
Iteration:  200 	Average Loss:  2.2168790329663652
Iteration:  300 	Average Loss:  1.8860595163132023
Iteration:  400 	Average Loss:  1.8771845807554846
Iteration:  500 	Average Loss:  1.8961439384369472
Iteration:  600 	Average Loss:  1.7704998128158704
Iteration:  700 	Average Loss:  1.7895220192324586
Iteration:  800 	Average Loss:  1.8131954794750123
Iteration:  900 	Average Loss:  1.7152747723034978
Iteration:  1000 	Average Loss:  1.7372141643835441
Iteration:  1100 	Average Loss:  1.5965726818743402
Iteration:  1200 	Average Loss:  1.7830963072564256
Iteration:  1300 	Average Loss:  1.468039008566733
Iteration:  1400 	Average Loss:  1.6656020636988587
Iteration:  1500 	Average Loss:  1.6940954482805217
Iteration:  1600 	Average Loss:  1.6511397728932264
Iteration:  1700 	Average Loss:  1.6190537410747468
Iteration:  1800 	Average Loss:  1.5296843611724373
Iteration:  1900 	Average Loss:  1.5947570672786031
Iteration:  2000 	Average Loss:  1.7426638604583764
Iteration:  2100 	Average Loss:  1.6449169704913316
Iteration:  2200 	Average Loss:  1.5287878242059731
Iteration:  2300 	Average Loss:  1.659751953736419
Iteration:  2400 	Average Loss:  1.5985225848969438
Iteration:  2500 	Average Loss:  1.6390524436722733
Iteration:  2600 	Average Loss:  1.5771344213643141
Iteration:  2700 	Average Loss:  1.5581734156148783
Iteration:  2800 	Average Loss:  1.6307596879533892
Iteration:  2900 	Average Loss:  1.4877785238296255
Iteration:  3000 	Average Loss:  1.4412822839487398
Iteration:  3100 	Average Loss:  1.6422793171833892
Iteration:  3200 	Average Loss:  1.576691752925548
Iteration:  3300 	Average Loss:  1.715600326888723
Iteration:  3400 	Average Loss:  1.3588854230752796
Iteration:  3500 	Average Loss:  1.4522594701958156
Iteration:  3600 	Average Loss:  1.5749137107199545
Iteration:  3700 	Average Loss:  1.639185736877969
Iteration:  3800 	Average Loss:  1.5296448738824142
Iteration:  3900 	Average Loss:  1.5132693460107776
